,sentiment,prediction
2,1,1
3,0,0
4,0,0
8,1,1
13,0,0
14,1,1
16,1,1
17,1,1
18,0,0
20,1,1
23,0,0
25,0,0
26,1,1
28,1,1
31,1,1
33,0,0
34,0,0
35,0,0
37,1,1
43,1,1
44,0,0
45,1,1
47,1,1
53,0,0
55,1,1
56,1,1
57,1,1
59,1,1
60,1,1
61,0,0
64,1,1
67,1,1
68,0,0
72,1,1
74,0,0
76,0,0
79,1,1
81,0,0
82,0,0
84,0,0
85,0,1
87,1,1
89,1,0
90,0,0
92,1,1
93,0,0
97,0,0
101,1,1
104,1,1
105,0,0
106,1,1
109,1,1
110,1,1
111,0,0
112,1,1
113,1,1
114,1,1
115,1,1
125,1,1
126,1,1
128,0,0
130,0,0
132,1,1
133,0,0
136,1,1
138,1,1
139,0,0
141,1,1
142,0,0
143,1,1
144,1,0
146,0,0
148,1,0
149,0,0
153,0,0
154,0,0
156,1,1
158,1,1
159,1,0
160,1,1
168,1,1
169,0,0
171,0,0
172,1,1
174,0,0
175,0,0
178,1,1
180,1,1
181,0,0
183,1,1
184,0,0
185,0,0
186,1,1
187,0,0
188,1,0
189,1,1
190,0,0
192,0,0
194,0,0
195,1,1
196,1,1
197,0,0
200,1,1
202,0,0
207,0,0
209,0,0
213,1,1
214,0,0
215,0,0
217,0,1
218,1,1
219,1,1
221,0,0
222,1,1
224,1,1
225,1,1
226,1,1
228,1,1
230,1,1
237,0,0
240,0,0
241,0,0
245,1,1
247,0,0
248,1,1
249,0,0
250,1,1
255,0,1
258,0,0
259,0,0
264,1,1
266,1,1
267,0,0
268,0,0
269,1,1
270,0,0
272,1,1
275,1,0
276,1,1
277,0,0
278,0,0
280,0,0
282,1,1
285,0,0
286,1,1
288,0,0
289,0,0
291,1,1
292,1,1
293,1,1
296,1,1
303,1,1
304,1,1
305,1,1
306,0,0
309,0,0
310,0,1
311,1,0
314,1,1
315,0,0
316,0,0
317,1,1
318,1,1
320,1,1
325,0,0
331,1,0
332,0,1
336,0,0
337,0,0
340,1,0
342,1,1
343,1,1
344,0,0
349,1,1
351,1,1
352,1,1
353,1,1
356,1,1
357,1,1
359,1,1
360,1,1
364,0,0
367,0,0
369,0,0
370,1,1
374,0,0
377,1,1
378,0,0
379,0,0
382,0,1
387,0,0
388,1,0
389,0,0
396,0,0
397,0,1
