,sentiment,prediction
6,0,0
7,0,0
8,1,1
10,0,0
11,1,1
12,0,0
18,0,0
22,1,1
25,0,0
29,1,1
35,0,0
40,1,1
41,1,1
42,1,1
44,0,0
46,0,0
48,0,0
51,0,0
54,0,0
55,1,1
56,1,1
58,1,1
60,1,1
63,0,0
65,1,1
68,0,0
71,1,1
72,1,1
75,0,0
78,0,0
80,0,0
81,0,0
83,0,0
86,0,0
89,1,1
90,0,0
92,1,1
97,0,0
104,1,1
105,0,0
108,0,0
109,1,1
112,1,1
114,1,1
122,0,0
123,1,1
124,0,0
130,0,0
134,0,1
135,1,1
140,1,1
142,0,0
143,1,1
145,1,1
147,1,1
151,0,0
152,1,1
153,0,0
156,1,1
159,1,0
166,0,1
167,0,0
169,0,0
170,0,0
171,0,0
175,0,0
176,1,1
180,1,1
186,1,1
189,1,1
190,0,0
191,1,1
197,0,0
198,1,1
199,0,0
200,1,1
203,1,1
205,1,1
208,1,1
209,0,0
210,0,0
213,1,0
214,0,0
215,0,0
221,0,0
223,0,0
224,1,1
225,1,1
227,0,0
229,0,0
230,1,1
231,0,0
232,1,1
234,1,1
236,1,1
237,0,0
238,0,0
240,0,0
241,0,0
242,0,0
243,1,1
244,0,0
245,1,1
249,0,0
251,1,0
256,0,1
257,0,0
259,0,0
261,1,1
262,1,1
264,1,1
267,0,0
268,0,0
270,0,0
273,1,0
276,1,1
277,0,0
280,0,0
281,1,1
283,1,1
284,1,1
285,0,0
289,0,0
291,1,1
294,0,0
297,0,1
298,0,0
302,0,0
304,1,1
305,1,1
306,0,0
310,0,0
312,1,1
316,0,0
319,0,0
320,1,1
323,0,0
324,0,0
325,0,0
334,0,0
336,0,0
337,0,0
338,1,0
340,1,0
341,1,0
342,1,1
345,0,0
346,0,0
348,0,0
350,0,0
351,1,1
352,1,1
357,1,1
359,1,1
361,0,0
362,1,1
363,1,1
364,0,0
365,1,1
366,0,0
368,0,0
369,0,0
372,0,0
375,0,1
377,1,1
378,0,0
379,0,0
380,1,1
381,1,1
382,0,1
384,0,0
385,1,1
389,0,0
390,0,1
392,0,0
394,0,0
396,0,0
399,1,0
401,1,0
402,1,1
403,1,1
404,1,1
405,1,1
406,1,1
408,0,0
409,0,0
412,0,1
415,0,0
416,1,1
418,1,0
419,0,0
420,1,1
421,1,1
424,0,0
425,0,0
426,0,0
427,1,1
428,1,1
429,0,0
430,0,1
431,1,1
433,1,0
436,0,0
437,0,0
439,1,1
440,0,1
442,0,0
444,1,1
445,1,1
447,1,1
448,0,0
450,0,0
452,0,0
455,1,1
457,1,1
458,0,0
460,0,1
461,1,1
462,1,1
466,1,1
467,0,0
468,1,1
471,0,0
472,1,1
475,0,0
478,0,0
479,0,0
480,1,1
490,1,1
492,0,0
493,1,1
494,1,1
495,0,0
497,0,0
498,1,1
503,1,1
505,0,0
508,0,0
510,1,1
512,0,1
514,0,0
515,1,0
516,0,0
519,0,0
523,1,1
526,1,1
527,0,0
529,0,0
530,1,1
535,0,0
536,1,1
539,0,0
542,0,0
543,0,0
545,0,0
546,1,1
547,0,0
548,0,0
549,0,0
550,0,0
553,0,0
557,0,0
558,0,0
559,1,1
561,0,0
562,1,1
564,1,0
565,1,1
567,1,1
568,1,1
570,1,1
572,1,1
574,1,1
575,0,0
577,0,0
579,1,1
582,1,1
586,0,0
587,1,1
589,1,1
593,0,1
594,1,1
595,1,0
597,0,0
599,0,0
600,1,1
602,0,0
607,0,0
608,0,1
609,0,0
613,0,1
616,1,1
621,0,0
623,0,0
625,0,0
626,0,0
627,0,0
628,0,0
629,0,0
633,1,1
638,0,0
641,1,1
642,0,0
644,1,1
646,0,0
648,1,1
649,1,1
651,1,1
655,1,1
657,0,0
658,0,0
659,0,0
663,1,0
664,1,1
667,0,0
668,1,1
672,1,1
673,1,1
674,1,1
676,0,0
677,0,0
679,1,1
680,0,0
682,0,0
683,0,0
688,0,0
690,1,1
692,1,1
694,0,1
695,1,1
699,0,0
700,0,0
702,0,0
705,1,1
706,0,0
708,1,1
710,1,1
712,0,0
715,0,0
717,1,1
718,0,1
720,1,1
721,0,0
723,0,0
727,1,1
730,0,0
731,1,1
732,1,1
734,1,1
736,1,1
737,1,0
738,1,1
739,1,1
740,0,0
741,1,1
743,0,0
744,1,1
745,1,1
746,0,0
747,0,1
748,1,1
749,1,1
751,1,1
755,0,0
756,1,1
759,0,0
761,0,0
762,0,0
763,0,0
764,0,1
766,0,0
767,1,1
768,0,0
772,0,0
775,1,1
776,1,1
777,0,0
778,0,1
780,0,0
781,0,0
782,1,0
784,0,0
785,0,0
786,1,1
787,1,1
789,1,1
790,1,1
792,0,0
794,1,1
797,1,1
799,0,0
802,1,1
805,1,1
806,0,0
808,1,1
809,0,0
810,1,1
814,1,1
819,0,0
820,0,0
821,0,0
822,0,0
823,1,0
828,0,0
832,0,0
834,1,1
835,1,1
843,1,1
845,1,1
847,1,1
849,1,0
850,1,1
852,0,0
853,0,0
854,0,0
855,1,0
856,0,0
857,0,0
858,1,1
859,1,1
860,0,0
861,1,1
862,1,1
864,1,1
865,1,1
867,1,1
869,0,0
871,1,1
872,0,0
873,1,1
876,1,1
878,0,0
881,0,0
882,1,1
883,0,0
888,1,1
894,0,0
895,0,0
897,1,1
898,0,0
906,1,0
907,1,1
910,0,0
911,0,1
913,0,1
917,0,0
919,0,0
922,0,0
923,0,0
926,0,1
928,1,1
931,1,1
938,0,0
939,1,0
940,1,1
941,1,1
942,0,0
943,1,1
948,1,1
949,1,1
950,0,0
953,1,1
955,1,1
964,1,1
965,0,1
968,0,0
969,1,1
972,0,0
973,1,0
974,1,1
975,1,1
976,0,1
979,0,0
980,0,1
981,1,1
982,1,1
984,0,1
985,1,1
990,0,0
991,0,0
998,0,0
1007,0,0
1008,1,1
1010,0,0
1015,1,1
1016,1,1
1018,1,1
1020,1,1
1021,0,0
1022,1,1
1025,0,0
1026,0,0
1028,0,0
1029,1,1
1031,0,0
1036,0,0
1037,1,1
1038,0,0
1040,1,1
1041,0,1
1042,0,0
1043,0,0
1046,0,0
1047,1,1
1048,1,0
1049,0,0
1051,0,0
1052,0,0
1053,1,1
1054,0,1
1056,0,0
1058,1,1
1059,1,1
1061,0,0
1064,0,0
1065,1,0
1069,0,0
1070,0,1
1071,0,0
1072,0,0
1074,0,0
1079,1,1
1080,1,1
1081,1,1
1082,1,1
1084,0,0
1086,1,1
1088,1,1
1089,0,0
1094,1,1
1096,0,0
1099,1,1
1101,0,1
1103,1,1
1104,1,1
1105,1,1
1107,1,1
1108,0,0
1109,0,1
1110,0,0
1112,0,0
1113,1,1
1114,0,0
1115,0,0
1116,1,1
1118,1,1
1119,1,1
1120,0,0
1122,0,0
1123,0,1
1124,1,1
1125,1,0
1128,1,0
1131,0,0
1132,1,1
1134,0,0
1137,0,0
1138,0,0
1140,0,0
1141,0,0
1144,1,1
1145,1,1
1146,0,0
1147,0,0
1154,0,0
1156,1,1
1157,1,1
1158,0,0
1164,0,0
1165,0,0
1166,1,1
1169,0,1
1170,0,0
1173,0,0
1174,1,1
1176,1,1
1180,1,1
1181,1,1
1182,1,1
1184,1,1
1185,1,1
1186,0,0
1187,1,1
1188,1,1
1190,0,0
1191,1,1
1193,1,1
1195,1,1
1196,0,0
1197,0,0
1204,1,1
1205,1,1
1209,0,0
1212,1,1
1214,0,1
1215,1,1
1217,0,1
1218,1,1
1219,1,1
1220,1,1
1226,0,0
1227,0,0
1228,0,0
1230,1,1
1232,1,1
1235,0,0
1236,1,0
1237,0,0
1240,0,0
1242,0,0
1245,0,0
1246,1,1
1247,1,1
1248,0,0
1249,1,0
1252,0,0
1256,0,0
1257,0,0
1258,1,1
1260,0,0
1261,1,1
1262,1,1
1263,0,0
1266,0,0
1267,1,1
1268,1,1
1269,1,1
1271,1,1
1272,0,0
1274,1,1
1275,1,1
1277,1,1
1278,1,1
1279,0,0
1280,0,0
1281,1,0
1284,1,1
1285,1,1
1288,1,1
1289,0,0
1290,1,1
1292,0,0
1303,1,1
1306,1,1
1307,1,1
1309,0,0
1311,0,0
1312,0,0
1313,0,0
1317,0,0
1318,0,0
1319,1,1
1320,1,1
1321,0,0
1322,1,0
1324,0,0
1325,0,0
1328,0,0
1329,1,1
1330,0,0
1332,1,1
1344,1,1
1345,1,0
1347,1,1
1348,0,0
1349,1,1
1350,1,0
1351,1,0
1352,0,0
1354,1,1
1355,1,1
1356,0,1
1359,0,0
1363,1,1
1364,0,0
1365,0,0
1368,0,0
1369,0,0
1370,1,1
1373,0,0
1375,1,1
1377,0,0
1380,0,0
1383,1,1
1385,1,1
1386,0,0
1388,0,0
1389,0,0
1390,1,1
1391,0,1
1392,1,1
1393,1,1
1394,1,1
1395,1,1
1396,0,0
1397,0,1
1398,1,1
1400,0,0
1404,1,1
1405,1,1
1407,1,1
1409,0,0
1411,1,1
1412,0,0
1413,1,1
1415,0,0
1416,0,0
1418,1,1
1419,1,1
1422,0,0
1423,0,0
1424,1,0
1427,0,0
1428,0,0
1430,0,0
1431,0,0
1437,0,0
1438,1,0
1439,1,1
1440,0,0
1442,1,1
1443,0,0
1444,1,1
1445,1,1
1446,1,1
1447,1,1
1448,1,1
1452,0,0
1453,1,1
1457,0,1
1458,0,0
1459,0,1
1460,1,1
1461,1,1
1462,1,1
1464,0,0
1465,0,0
1468,0,0
1469,0,0
1470,0,0
1473,1,1
1474,0,0
1475,1,1
1476,0,1
1478,0,0
1484,0,0
1488,1,1
1490,0,1
1492,1,1
1493,1,1
1494,0,1
1496,0,0
1498,1,1
1501,0,0
1504,1,1
1506,1,1
1507,0,0
1509,0,0
1512,1,1
1513,0,0
1517,1,1
1518,1,1
1520,1,1
1521,0,0
1523,0,0
1525,0,0
1526,1,1
1527,1,1
1532,1,1
1533,0,0
1535,1,1
1538,1,1
1541,0,0
1543,1,1
1544,1,1
1545,1,1
1548,0,0
1549,1,1
1550,0,0
1552,1,1
1553,1,1
1555,1,1
1557,0,0
1558,0,0
1560,0,0
1561,1,0
1564,1,1
1565,1,1
1567,0,0
1569,0,0
1570,1,0
1571,0,0
1574,1,0
1575,0,0
1578,0,0
1580,1,0
1582,1,1
1583,1,1
1584,1,1
1587,1,1
1588,0,0
1592,1,1
1598,1,1
1600,1,1
1604,0,0
1605,0,0
1606,1,1
1609,1,1
1610,1,1
1612,0,1
1615,0,0
1617,0,0
1621,1,1
1622,1,1
1623,1,1
1624,0,1
1626,0,0
1629,1,1
1631,0,0
1632,1,0
1633,0,0
1634,0,0
1637,1,1
1640,0,0
1641,0,0
1643,0,0
1647,1,1
1649,1,1
1650,1,1
1651,1,1
1652,1,1
1653,1,1
1655,1,0
1656,0,0
1661,1,1
1664,0,0
1665,0,0
1666,0,1
1667,0,0
1668,1,1
1670,0,0
1672,0,0
1674,0,0
1675,0,0
1680,0,0
1681,0,0
1682,0,0
1684,0,0
1685,1,1
1686,0,0
1687,0,0
1689,1,0
1692,1,1
1694,0,0
1699,0,0
1701,1,1
1702,1,1
1703,1,1
1706,1,0
1708,1,0
1709,1,1
1711,0,1
1713,1,1
1714,0,0
1716,0,0
1717,0,0
1718,0,0
1719,0,1
1721,1,1
1722,1,1
1723,1,1
1725,1,1
1726,1,1
1728,0,0
1729,0,0
1730,0,0
1733,0,0
1735,1,1
1737,1,0
1739,1,1
1740,0,1
1741,0,0
1743,1,1
1746,1,1
1747,0,0
1749,1,1
1750,0,1
1753,1,1
1754,0,0
1757,0,0
1759,1,1
1761,0,0
1764,1,1
1765,0,0
1773,0,0
1774,1,1
1777,1,1
1778,0,0
1780,0,1
1781,0,1
1785,0,0
1786,0,0
1788,0,0
1790,1,1
1792,0,0
1793,0,0
1798,1,0
1801,1,1
1802,0,0
1805,0,1
1806,1,1
1807,0,0
1810,0,0
1813,0,0
1818,0,0
1819,1,1
1820,1,1
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,1,1
1829,0,1
1830,0,0
1831,0,0
1834,1,1
1836,1,1
1838,1,1
1840,1,1
1841,0,0
1842,1,1
1845,1,1
1846,1,1
1847,0,0
1848,0,0
1850,0,0
1851,0,0
1852,1,1
1853,1,1
1856,0,1
1857,1,1
1861,0,0
1862,0,0
1864,0,0
1867,0,0
1868,1,1
1870,0,0
1871,0,0
1872,1,1
1874,1,1
1878,1,1
1881,0,0
1882,1,1
1884,1,1
1885,0,1
1886,0,0
1888,0,0
1891,1,1
1893,0,0
1894,0,0
1895,1,1
1896,0,0
1897,1,0
1898,1,1
1901,0,1
1903,1,1
1905,0,0
1914,0,0
1916,0,0
1917,0,0
1919,1,1
1920,0,0
1922,0,0
1923,0,0
1929,0,0
1930,0,0
1931,0,0
1934,1,1
1937,1,1
1938,1,1
1941,0,0
1943,0,0
1944,0,0
1945,0,0
1947,1,1
1951,0,0
1953,0,0
1954,0,0
1955,0,0
1959,1,0
1961,0,0
1963,1,1
1965,0,0
1966,0,1
1968,0,0
1969,0,0
1970,1,1
1972,0,0
1977,1,1
1978,1,1
1979,1,1
1980,1,1
1981,0,1
1984,1,1
1985,1,1
1988,0,0
1989,0,0
1991,0,0
1992,1,1
1996,1,1
1997,0,0
2000,0,0
2003,0,0
2007,1,1
2008,1,1
2010,0,0
2011,0,0
2013,0,0
2016,1,1
2019,0,1
2021,0,0
2023,1,0
2024,0,0
2025,1,1
2027,1,0
2028,0,0
2029,0,0
2038,1,1
2039,0,1
2040,1,1
2043,1,1
2044,1,1
2048,1,1
2049,1,1
2052,1,1
2054,1,1
2055,1,1
2056,1,1
2057,1,1
2058,1,1
2059,1,1
2061,0,0
2063,1,1
2065,1,1
2067,0,0
2072,1,1
2074,0,0
2075,1,0
2076,1,1
2081,0,0
2082,1,1
2084,1,1
2085,0,0
2086,1,1
2090,0,1
2092,0,0
2095,0,0
2099,0,0
2103,1,1
2104,0,0
2105,0,0
2106,0,0
2108,1,1
2112,0,1
2115,1,1
2116,1,1
2118,0,0
2122,0,1
2123,1,1
2125,0,1
2126,1,0
2128,0,0
2130,0,0
2132,1,1
2133,0,0
2135,0,0
2136,1,1
2137,1,1
2144,0,0
2145,0,0
2146,1,0
2147,0,0
2149,1,1
2151,0,0
2152,1,1
2155,0,0
2156,1,1
2157,1,1
2159,1,1
2161,1,1
2162,0,0
2164,0,0
2165,0,0
2168,1,1
2170,1,1
2171,0,1
2172,1,1
2173,1,1
2174,1,1
2175,0,0
2178,0,0
2179,0,0
2184,0,1
2186,1,1
2188,1,1
2189,0,1
2191,0,0
2195,0,0
2201,0,0
2204,1,0
2208,0,0
2210,1,1
2212,1,1
2214,0,0
2216,1,0
2217,1,1
2222,0,0
2224,0,0
2230,1,1
2232,1,1
2233,1,1
2235,0,0
2236,1,1
2237,0,0
2238,0,0
2241,0,0
2242,1,1
2243,0,0
2245,0,0
2247,1,1
2249,0,1
2253,1,1
2258,1,1
2259,1,1
2261,0,0
2262,0,0
2263,0,0
2266,1,1
2267,0,0
2268,1,1
2269,0,0
2270,0,0
2274,0,1
2275,0,0
2277,1,1
2279,0,0
2280,1,0
2282,0,0
2283,1,0
2285,1,1
2287,0,0
2289,1,1
2291,1,1
2292,0,0
2295,0,1
2296,1,1
2297,0,0
2299,1,1
2301,1,0
2306,0,0
2309,0,0
2310,0,0
2315,1,1
2316,1,1
2321,0,0
2322,1,1
2324,1,1
2327,0,0
2328,0,0
2331,1,1
2338,0,0
2340,0,0
2341,1,1
2342,1,1
2345,1,1
2353,0,0
2357,1,1
2360,0,1
2362,1,0
2366,1,1
2367,1,1
2371,0,0
2372,1,1
2376,1,1
2377,0,0
2378,1,1
2379,0,0
2383,0,0
2384,0,1
2385,1,1
2386,0,0
2389,1,1
2391,1,1
2392,1,1
2393,1,1
2395,1,1
2396,1,1
2397,0,0
2400,1,1
2402,1,1
2403,1,1
2405,1,1
2406,0,0
2407,0,0
2408,1,1
2409,1,1
2410,0,1
2412,1,1
2415,1,1
2416,0,0
2421,0,1
2425,1,1
2426,0,0
2427,1,1
2430,0,1
2431,0,0
2435,1,1
2437,0,0
2438,1,0
2439,0,0
2443,1,1
2444,0,0
2445,1,1
2446,1,1
2449,1,0
2450,0,0
2453,1,1
2454,1,1
2455,0,0
2459,0,0
2461,1,0
2464,0,1
2468,1,1
2470,0,0
2475,0,0
2476,1,1
2477,1,1
2479,0,0
2482,0,0
2485,1,1
2486,0,0
2487,1,1
2488,1,1
2489,0,0
2490,1,0
2491,0,0
2492,1,1
2493,0,0
2494,0,0
2496,1,1
2497,1,0
2498,0,0
2499,0,0
2501,0,1
2504,1,0
2507,0,0
2508,1,1
2510,0,0
2511,1,1
2512,1,1
2513,1,1
2514,0,1
2516,1,1
2517,1,1
2520,0,0
2522,0,0
2524,0,0
2527,0,0
2528,1,1
2529,1,1
2531,1,0
2535,1,1
2536,1,1
2542,1,1
2543,0,0
2547,1,1
2548,0,0
2549,1,0
2552,0,0
2553,1,1
2554,1,1
2560,1,1
2563,1,0
2565,1,1
2566,0,0
2567,1,0
2570,0,1
2574,1,1
2575,1,1
2576,1,1
2579,0,1
2581,0,0
2583,0,0
2584,0,1
2585,1,1
2587,0,0
2588,1,0
2589,1,1
2590,1,1
2592,1,1
2596,1,0
2597,0,0
2598,1,1
2600,1,1
2603,0,0
2604,1,1
2607,0,0
2608,0,0
2611,1,0
2615,0,0
2619,0,0
2621,1,1
2622,0,0
2623,0,0
2624,1,1
2626,0,0
2627,0,0
2628,0,1
2630,0,0
2632,1,1
2634,0,0
2639,0,0
2641,0,0
2642,1,1
2652,1,1
2656,1,1
2658,0,0
2659,0,0
2660,0,0
2661,1,1
2662,0,0
2664,1,1
2665,0,0
2666,1,1
2672,0,0
2675,1,1
2676,1,0
2677,0,0
2678,1,1
2679,0,0
2682,1,1
2687,0,0
2688,1,1
2689,1,0
2690,1,1
2691,1,1
2693,1,1
2694,1,1
2697,0,0
2698,1,1
2700,1,1
2703,1,1
2704,1,0
2707,0,0
2708,1,1
2709,0,0
2710,1,0
2712,1,1
2714,1,1
2715,0,0
2716,1,1
2718,0,0
2724,0,0
2726,1,1
2731,0,0
2733,0,0
2736,0,0
2737,0,0
2738,1,1
2739,1,1
2740,0,0
2741,0,1
2744,1,1
2748,0,1
2749,0,0
2750,1,1
2751,0,0
2752,1,1
2754,1,1
2755,0,0
2757,0,0
2758,1,1
2759,0,0
2762,1,0
2763,0,0
2764,1,1
2765,1,1
2766,0,1
2767,0,0
2768,0,0
2771,0,1
2772,1,1
2775,1,1
2777,1,1
2781,1,0
2783,1,1
2786,0,0
2787,0,0
2789,0,0
2793,1,1
2794,0,0
2796,1,0
2797,0,0
2798,1,1
2799,1,1
2800,0,0
2801,0,0
2802,0,0
2804,1,1
2806,1,1
2807,0,0
2810,0,0
2811,1,1
2812,0,0
2813,1,1
2814,1,1
2818,1,1
2819,0,0
2820,1,1
2821,0,0
2823,0,0
2825,1,1
2827,1,1
2828,1,1
2829,0,0
2831,0,0
2835,0,0
2836,1,1
2837,1,1
2839,0,0
2840,1,1
2841,1,1
2842,0,0
2843,1,1
2844,1,1
2847,0,0
2848,1,1
2849,1,1
2850,1,1
2851,0,0
2852,0,1
2855,1,1
2860,0,0
2861,0,0
2865,1,1
2866,1,1
2867,1,1
2868,0,0
2869,1,1
2872,0,1
2873,1,1
2875,0,0
2878,1,1
2880,1,1
2881,0,0
2884,0,0
2889,1,1
2899,1,1
2901,1,1
2903,0,1
2904,1,1
2905,1,1
2907,0,0
2913,0,0
2916,0,0
2924,0,0
2925,1,1
2926,0,0
2929,0,0
2930,1,1
2931,1,1
2932,0,0
2936,1,1
2939,1,1
2941,0,1
2943,0,0
2944,0,0
2946,0,0
2947,1,1
2954,1,1
2955,1,1
2956,1,1
2957,1,1
2959,1,0
2961,0,1
2965,0,0
2966,0,0
2975,0,0
2976,1,1
2978,1,0
2980,1,1
2982,1,1
2985,1,1
2988,0,0
2989,1,1
2990,1,1
2992,1,1
2993,1,1
2996,1,0
2998,1,1
3003,0,0
3005,0,0
3006,0,1
3007,1,1
3008,0,0
3009,0,0
3013,0,0
3015,1,1
3018,1,0
3019,0,0
3020,0,0
3022,0,0
3027,1,1
3029,1,0
3030,1,0
3035,0,0
3037,0,0
3039,1,1
3040,1,1
3041,0,0
3044,1,1
3046,1,1
3048,1,1
3055,0,0
3059,1,1
3060,0,0
3062,0,0
3067,1,0
3068,0,1
3071,0,0
3072,1,1
3073,1,1
3074,1,1
3075,0,0
3077,1,1
3079,0,0
3080,0,0
3082,0,0
3085,0,0
3092,0,0
3093,0,0
3094,1,1
3097,0,0
3098,0,0
3101,0,0
3103,1,1
3104,0,0
3105,1,1
3109,0,0
3110,0,1
3111,0,0
3113,1,1
3115,0,0
3117,0,1
3118,1,1
3124,1,0
3125,1,1
3127,1,0
3128,1,1
3132,1,1
3133,0,1
3134,1,1
3135,1,1
3136,1,1
3141,0,0
3143,0,0
3144,0,1
3145,1,1
3148,0,1
3153,0,1
3154,0,0
3155,0,0
3156,1,1
3158,0,0
3159,0,0
3163,0,0
3165,0,0
3167,1,1
3172,0,0
3173,1,1
3174,0,1
3175,1,1
3176,1,0
3177,0,0
3180,1,1
3181,0,0
3182,0,0
3186,1,1
3188,1,1
3189,0,0
3190,1,1
3191,0,0
3192,1,1
3194,0,1
3196,1,1
3197,0,0
3199,1,1
3205,0,0
3207,0,0
3208,0,0
3210,0,0
3213,0,0
3214,0,0
3215,1,1
3218,1,1
3219,1,1
3222,1,1
3226,1,0
3227,0,1
3228,1,1
3229,0,0
3230,1,1
3233,1,1
3238,1,1
3239,0,0
3240,1,1
3249,1,1
3254,1,1
3255,1,1
3257,0,0
3258,0,0
3260,0,0
3261,1,0
3263,1,1
3266,0,0
3268,1,1
3269,0,0
3272,1,0
3273,0,1
3274,0,0
3275,1,1
3276,0,0
3278,1,1
3285,0,0
3286,1,0
3287,0,0
3289,1,1
3294,0,0
3295,1,1
3297,0,1
3299,1,1
3300,1,0
3304,0,0
3305,0,0
3306,0,0
3307,0,0
3308,1,1
3311,1,1
3312,0,0
3313,1,1
3314,1,1
3315,0,0
3317,1,1
3319,0,0
3322,1,1
3323,1,1
3324,0,0
3325,0,0
3328,1,1
3329,0,0
3332,0,0
3335,1,1
3338,1,1
3339,0,0
3346,0,0
3347,0,0
3349,0,0
3351,0,0
3352,1,1
3354,1,1
3356,0,0
3357,1,0
3359,0,0
3360,1,1
3361,1,1
3364,1,1
3367,0,0
3368,0,0
3370,1,1
3373,1,1
3375,0,0
3381,1,1
3383,0,0
3386,0,0
3388,0,0
3390,1,1
3393,0,1
3394,0,0
3395,0,0
3398,1,0
3399,0,0
3402,1,1
3405,0,0
3406,0,1
3408,1,0
3412,1,1
3416,0,0
3417,1,1
3418,1,1
3419,0,0
3420,1,0
3421,0,1
3422,1,1
3423,0,0
3427,1,0
3429,1,1
3431,0,0
3433,0,0
3434,0,0
3436,1,1
3439,0,0
3446,0,0
3450,0,0
3451,1,1
3455,0,0
3460,1,1
3462,0,0
3463,1,1
3465,0,0
3466,1,0
3467,1,1
3470,1,1
3473,1,1
3476,1,1
